"ID","REPORTING_ORG","NGO_SINCE","NGO_REGION","NGO_STREET_ADDRESS","NGO_POST_OR_ZIP","NGO_CONTACT_NAME","NGO_PHONE","FOCUS_AREA","MISSION","NGO_ID","PDF_NAME"
49,,"",,Wales (274467) and Scotland (SC045476),,Wangu Kanja Foundation,"","",increasing access to justice and security for women and girls,5,F://reportQuery//input//access_to_justice_2018_final_report.pdf
50,,"1968",,Bezuidenhoutseweg 2 2594,,Catarina Fonseca,"",was lagging behind on its aim of reaching 30 ,strengthening local and national country processes and systems.,6,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/084-201916irc_annualdef_web_0.pdf
51,,"",,www.tahaddilebanon.org,,www.tahaddilebanon.org Email info@tahaddilebanon.org,"",provide access to quality early childhood dev,development as freedom.,7,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/1534278448-FinalAnnualreportTahaddi8-8-2018(1).pdf
52,,@neareastfoundation OR 20,,www.neareast.org,,info@neareast.org,"",move beyond survival by providing them with r,to create positive change for families and communities in need.,8,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/2018 Impact Report-2.pdf
53,,"",,"247672 +65 6471 4321 admin@lienaid.org",,Anthony Stephen Puckett OBE Koo Boon Thong* Lee Kia Jong Elaine Lee Poh Wah*,Pongro Community Wat,Lien AIDs efforts to address this challenge.,to reimagine the potential to advance the health and well- being of at-risk communities in Asia through sustained access to clean water and sanitation.,9,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/2018-Annual-Report_web.pdf
54,,"12 years ago",,www.gfp.ngo/en/facilities or contact ven,,generati sforpeace,youth must not just ,"",commitment to transforming conflict into peace,10,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/2018-GFP-Annual-Report-Design.pdf
55,,"",,zack.fowler@wisergirls.org.,,Zack Fowler at zack.fowler@wisergirls.org.,retention of girls through both primary and secondary school remains a substantial challenge.,retention of girls through both primary and secondary school remains a substantial challenge.,We believe that every girl regardless of circumstance deserves a clear path to an education.,11,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/2018-WISER-Annual-Report.pdf
56,,"",,"23 asanteafrica.org",,asanteafrica.org,Evidence-based decisions are foundational to our program implementation strategy.,working closely with each individual community our teams are able to design programs that are effective and sustainable.,doing the greatest good for those who have the least,12,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/2018ImpactReport-AsanteAfrica-small.pdf
57,,"",,friendshipbridge.org,,friendshipbridge.org,Guatemala is ranked 107th out of 149 countries in the Global Gender Gap index,"",we create opportunities that empower women to create better futures,13,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/271083-FB-Annual-Report-PROOF3.pdf
58,,February 1993,,on the national highway at Khalilabad.,,Kendranchal Colony Sector-K Aliganj Lucknow- 226 024 UP Phone- 0522 — 4075891 Email- ho@gds.org.in & dwivedi.sk@gds.org.in,orange fleshed sweet potato,agriculture performance indicators,major focus is conducive atmosphere for women to fearlessly work and grow,14,/cs/student/projects1/2018/comp0016_19/comp0016_19_36/reportQuery2/input/7.-GDS-Annual-Report-2018-19.pdf
