"ID","PROJECT_ID","PROJECT_REACH_UNIT","PROJECT_REACH_TARGET","PROJECT_REACH_ACTUAL","PROJECT_TARGET_GROUPS"
38,81,,at least 150,over 890 women and girls,women and girls
39,82,,"26 trained volunteers","890",women and girls who have experienced violence
40,83,,"",over 890,""
41,84,,"2560 1461","",a relative or a friend who lacks one.
42,85,,"30 million","30 million","30 million people"
43,86,,"30 million","30 million","30 million people"
44,87,,"10000","10000",community
45,88,,"25","25",generational poverty.
46,89,,"13.1 million","2.02 million people",disadvantaged women
47,90,,volunteers,"63%",village leaders and village tract administrators
48,91,,"","63%",village leaders and village tract administrators
49,92,,"","",youth to build on local strengths to help communities transform themselves into tolerant peaceful societies.
50,93,,"","11468 524370",young people to lead change. We are passionate about empowering them to transform conflict and reduce violence in their own communities.
51,94,,thousands of girls and their communities.,"",girls and their communities!
52,95,,"",over 4000 lives changing.,youths
53,96,,"15","518000",those who have the least
54,97,,"","1039",women entrepreneurs
55,98,,"160","1039",Friendship Bridge
56,99,,"5104","5104",poor families
57,100,,"850 persons","850",smallholder farmers
58,101,,"20 million by 2020","5.4 million",vulnerable youngsters
59,102,,more than half a million children,"5.4 million",vulnerable youngsters
60,103,,"",over 12000 orphaned and vulnerable children,scouts from rural and impoverished areas
61,104,,"5 million",over 26000 children,people vulnerable to human trafficking and child sexual abuse.
62,105,,"5 million",over 26000 children,missing children cases
63,106,,"7","443",cops
64,107,,"30000",millions,young women aged between 15 and 24 years.
65,108,,"","",Malala Yousafzai
66,109,,millions,"67336",economic empowerment in women
67,110,,"","397 526 people",vulnerable people have more sustainable livelihoods.
68,111,,"",over 400000,smallholder farmers
69,112,,"4 million people","397 526",vulnerable people have more sustainable livelihoods.
70,113,,"","",""
71,114,,"","",""
72,115,,more than 2000,"8686",displaced and vulnerable persons
73,116,,"195","132",young people.
74,117,,more than 2000,"8686",displaced and vulnerable persons
75,118,,"13.1 million","2.02 million people",disadvantaged women
76,119,,thousands,"768",Indian girls into school
77,120,,"",at least 500 street children dropouts to formal schooling system by 2020 and to increase the income by Rs 5000 of at least 200,poor
78,121,,each and every child of the community.,many women across the communities in need.,physically and mentally handicapped children.
79,122,,"","",undernourished kids and families
80,123,,"","30000+",physically and mentally handicapped children.
81,124,,"","",inclusive communities
82,125,,"","18750",poor people
83,126,,"18750","200000",poor households
84,127,,"49105","123339",poor households
85,128,,"129000 people","655",out-of-school girls and young women
86,129,,"357 (2017 — 240) volunteers worked abroad for a period of three months.",over 1 00000 people,women
87,130,,"357 (2017 — 240) volunteers worked abroad for a period of three months.","129000",some of the worlds poorest communities.
88,131,,"","",empower women with fistula to seek treatment.
89,132,,"96% of women treated for fistula reporting dry after six months","60000",elimika contains 16 Swahili-language messages about obstetric fistula to help increase community health education reduce stigma and misconceptions and ultimately encourage all women to seek treatment earlier.
90,133,,"",Three-hundred,womens important role in creating sustainable development and promoting community growth.
91,134,,approximately 3000,four hundred and thirty,activists with disabilities
92,135,,"",Three-hundred,women in finding their voices and achieving their goals.
93,136,,"12",four hundred and thirty,disadvantaged local communities and groups;
94,137,,"","",""
95,138,,"","",""
96,139,,"","70% of our Human Trafficking Prevention presentations have resulted in disclosure of exploitation or sexual violence by participants including victims themselves who were referred to services. 4eoCh 40",prevents sex trafficking of youth
97,140,,"","54",Adolescent girls and boys
98,141,,one in four agreed that providing childcare is to help his partner rather than to assume parental responsibility.186,break down gender- unequal divisions of labor,his partner
99,142,,"85% of fathers say that they would be willing to do anything to be very involved in the early weeks and months of caring for their newly born or adopted child.","54",ridiculed by the village.
100,143,,millions,more than 22000,vulnerable populations
101,144,,"","22000",women become self-sufficient
102,145,,"","22000",vulnerable populations
103,146,,"1 million","159000",unbanked populations
104,147,,"1 million","159000",women and girls
105,148,,"","70 women","70 women"
106,149,,all people,"70 women","70 women"
107,150,,"110 million people","2 million",adolescent girls.
108,151,,"","",new generation of young local leaders
109,152,,"","",new generation of young local leaders
110,153,,"","70",""
111,154,,"","11059",teenage girls
112,155,,"","19000 entrepreneurs",entrepreneurs in the developing world.
113,156,,"","6000",children
114,157,,"","",children and adolescents.
115,158,,"","10.4 percentage points.",improve learning levels of children—especially girls—and
116,159,,"","",vulnerable sections of the children
117,160,,"","159",rural and isolated populations.
118,161,,"27000","27000",vulnerable communities
119,162,,"67","34",families living in poverty
