"ID","NGO_ID","PROJECT_TITLE","PROJECT_DESCRIPTION","PROJECT_STATUS","PROJECT_START_DATE","PROJECT_END_DATE","PROJECT_SCOPE"
81,49,gender violence campaign,"16 days of activism against",we have already seen improvements and this will be an ongoing effort.,"2016",December 2017,women and girls who have experienced violence.
82,49,case managers in trauma counselling to provide support,to women and girls who have experienced violence,help until they see a case is through.,"",until they see a case is through.,women and girls who have experienced violence
83,49,Change lives.,act:onaid,thank God the man is in jail to this day.,"","",""
84,50,Fasotoilettes,a systems-changing activity we designed and continue to support.,a systems-changing activity we designed and continue to support.,"","",Burkinabé should be built by Burkinabé themselves.
85,50,access to safe water and sanitation available for everyone,for good by 2030.,for good by 2030.,By 2030,by 2030.,entire population
86,50,Supporting water sani and hygiene services foil•,Ministry of Drinking,programme is a five-year programme in its third year of implementation.,"","2030.","30 million people"
87,51,Facing the challenge of poverty together,"10000 Health-related consultations","10000 Health-related consultations","2017","",community
88,51,Tahaddi Lebanon ANNUAL REPORT Facing the challenge of poverty together,facilitating access to education health and psychosocial services.,"2017-2018","2017-2018","2017-2018",Lebanese families and their chi Idren.
89,52,community-based livelihoods,has facilitated the recovery of agricultural communities and markets,has facilitated the recovery of agricultural communities and markets in Syria through technical training value chain analysis input grants and access to equipment and supplies.,fall of 201 7,"",disadvantaged women
90,53,Community Water Management programme,provides a channel through which village leaders and village tract administrators share information about the water resources and needs in their villages,all of them are now entrepreneur led.,"2017","2018 after more than 6 years.",village leaders and village tract administrators
91,53,Community Water Management pilot.,Programme Fueling,all of them are now entrepreneur led.,paid operators,"",""
92,54,Community Empowerment,supporting youth to build on local strengths to help communities transform themselves into tolerant peaceful societies.,taught and learned,"","",youth
93,54,Generations For Peace,a global community.,more active than ever,"","",gender equality
94,55,holistic health program,removes the most common wellness-related barriers to girls success.,fully-funded by Duke,"","",girls success.
95,56,Pay it Forward,recognition of youths contribution to family and community.,recognition of youths contribution to family and community.,recognition of youths contribution to family and community.,Sustainable success requires a web of connectivity and mutual support.,recognition of youths contribution to family and community.
96,56,asanteafrica.org,Tanzania Fredrick Mbise,only non-profit,"2 teens with an idea","9 10",deeply remote communities schools and children.
97,57,Microcredit Plus,Opportunities,continued to grow.,"","",women entrepreneurs
98,57,Health for Life,access to much needed preventive health services to combat the top chronic diseases among women,our Evergreen Circle has continued to grow.,"2015.","",Our five children are studying and we hope to support them so they can go far with their education.
99,58,migrant support program.,social security scheme,completed second phase of its implementation with successful implementation of project interventions,"1993",Creating livelihood transforming lives,"5104 direct beneficiaries"
100,58,Migration support program at source,Creating livelihood transforming lives,acceptance continues at locale with community action for sustainable development.,November 2018,concluded in December 2018,all those affected by disaster irrespective of their castes religion and class.
101,59,Aflatoun Methodology,turning dependence into independence.,highlighted as a leapfrog pathway to reach every child.,"","",disadvantaged children
102,59,Aflatoun programme.,one of the programmes that support the successor generation efforts of the cooperatives.,strong global force.,"2005.","2019.",the most vulnerable.
103,60,Keep the dream,www.keepthedream196.com,children are persuing their dreams,"2003","",""
104,61,(anti-human trafficking and child sexual abuse programme,Mukti project to combat human trafficking and child sexual abuse,is implemented in two districts of Manipur namely Imphal and Ukhrul.,"2007.","2018",people vulnerable to human trafficking and child sexual abuse.
105,61,(anti-human trafficking and child sexual abuse programme of FXBIS),FXBIS Mukti project to combat human trafficking and child sexual abuse is implemented in two districts of Manipur namely Imphal and Ukhrul.,implemented in two districts of Manipur namely Imphal and Ukhrul.,FXBIS Mukti project to combat human trafficking and child sexual abuse is implemented in two districts of Manipur namely Imphal and Ukhrul.,by 2027,people vulnerable to human trafficking and child sexual abuse.
106,61,steps in to rescue children,(fat Cops,cops learn to tackle missing children cases,"13 13 20 cops learn to tackle missing children cases",(fat Cops,children at a children s home
107,62,Naya Qadam project.,aims to increase access to Post Pregnancy Family Planning,Aahung carried on its work relentlessly and over time many staunch opposition members became its greatest support. It has been 23 years hence and the work goes on.,since 1995.,between the years 2019-2020.,young women aged between 15 and 24 years.
108,62,Building a better working world,Establishing a relationship of trust.,not accept a wor d,Aahung is a Karachi-based NGO that has been working to improve the Sexual and Reproductive Health and Rights (SRHR) of men women and young people since 1995.,"",women entrepreneurs
109,62,Dhaabas,why we dont see women in public spaces,"17 years","1995.","",economic empowerment in women
110,63,Sport for development and peace,universal power of sport to enable young people to rewrite the future.,leader in community-led development,community-level partnerships.,"",smallholder farmers
111,63,in kind donations,one-off gift,shown at valuations provided by the donor.,shown at valuations provided by the donor.,shown at valuations provided by the donor.,smallholder farmers
112,63,global aid programme,Markets for the poor,Legal status,"",April 2018,the most disadvantaged communities
113,64,empty,"","","","",""
114,64,"","","","","",""
115,65,education in emergencies programme,sustainable community development tool,Significant progress has been made in the achievement of set objectives outputs and targets.,"2018","2019",displaced and vulnerable persons
116,65,Sports Ministry,Organized sports can play a significant role in positive youth engagement where life lessons like communication healthy competition sportsmanship and teamwork are put into practice.,operates on a limited basis,"1972",tournament at the end of the season.,young people.
117,65,the education in emergencies programme,education health shelter water sanitation and hygiene promotion (WASH) emergency medical transport and ambulance service,Significant progress has been made in the achievement of set objectives outputs and targets.,"2018","2019",displaced and vulnerable persons
118,66,community-based livelihoods,has facilitated the recovery of agricultural communities and markets,has facilitated the recovery of agricultural communities and markets in Syria through technical training value chain analysis input grants and access to equipment and supplies.,fall of 201 7,"",disadvantaged women
119,67,girls education development impact bond,outcome-based impact bonds,Educating girls is the basic panacea for achieving sustainable development globally!,"2015",more hope that they will pursue higher studies!,harder-to-enrol older girls
120,68,women empowerment program.,Rooh-Awakening Womens,Rooh-Awakening Womens,Year 2002.,Through education spread of awareness and skill training,poor
121,68,Butterfly program,provide holistic education to each and every child of the community.,established in Year 2002.,Year 2002.,"",underprivileged children.
122,68,Prerna School of inspiration,Young Indian Team Cll,Young Indian,"",toys and books are path of growth and development,undernourished kids and families
123,68,Lakshyam kids.,triggering the kids creativity and meticulousness while giving them happiness by performing their drawings.,undernourished,"2012","5th standard.",undernourished
124,69,Outreach Burundi,The Community,as a national organization,"","",inclusive communities
125,70,Microfinance,to provide major field based economic development activities,Microfinance has been regarded as the main programme of DFED to provide major field based economic development activities,"2007","2015-2025",poor people
126,70,Works for unlocking human potential,Unique 4-stroke Programme strategy,emerged as the pioneer institution in this sector.,"1 October 2016",ended on 30 April 2018.,the poor and the deprived.
127,70,Enhancing Resources,Programme people-centreed holistic programme,"95 Children Learning Centres were in operation with community support.",since July 2014,November 2019.,poor households
128,71,la Promotion des Initiatives Locales,unpaid.,In the event of the charity being wound up,"2011.",late 201 7,disabJed people.
129,71,livelihoods projects,we worked alongside our partners to develop skills that will allow women to earn a fair living.,wound up,"2011.","",women to earn a fair living.
130,71,University Student Placement programme,a placement preparation and matching scheme that provides universities with a robust overseas placement option for their students.,"357 (2017 — 240) volunteers worked abroad for a period of three months.","2011.",late 201 7,development projects
131,72,fistula programme,a free interactive voice response (IVR) information platform hosted by a telecommunications provider,"96% of women treated for fistula reporting dry after six months","","",""
132,72,fistula programme — a free interactive voice response (IVR) information platform hosted by a telecommunications provider to raise awareness about fistula its causes and treatment options. The IVR platform elimika,contains 16 Swahili-language messages about obstetric fistula to help increase community health education,"","",contains 16 Swahili-language messages about obstetric fistula to help increase community health education reduce stigma and misconceptions and ultimately encourage all women to seek treatment earlier.,encourage all women to seek treatment earlier.
133,73,Targeting women,corresponds with the global understanding of womens important role in creating sustainable development and promoting community growth.,first-time employed,"",Full study available.,community growth.
134,73,Moroccan human development.,social integration.,Decentralization:,"2008",sustainable development further reinforces students workforce readiness.,activists with disabilities
135,73,personal growth process,we assist women in finding their voices and achieving their goals.,"","",Signed or Pending Fifteen,women in finding their voices and achieving their goals.
136,73,hubs for participatory democratic citizenry,tailored to the specificities of each local context.,funded by the National Endowment for Democracy have now evolved into a rights-based approach.,www.highatlasfoundation.org,"2030?",women youth and marginalized rural and urban communities.
137,74,membership program,Our Community The el The Well is a community of generous charity: water supporters who fund our operating costs. By committing to support operations for three year terms,we expand our membership,"","",""
138,74,our membership program,"100% Model",we expand our membership,"","",""
